,,,,
,,,,
"Population in metropolitan areas in Canada 2022, by gender ",,,,
"Resident population in metropolitan areas in Canada as of July 2022, by gender ",,,,
,Men,Women,Latitude,Longitude
"Toronto, Ontario",3288951,3396670,43.7001,-79.4163
"Montréal, Quebec",2174933,2203863,45.5088,-73.5878
"Vancouver, British Columbia",1396936,1445794,49.2497,-123.119
"Calgary, Alberta",804735,803607,51.0501,-114.085
"Ottawa - Gatineau, Ontario/Quebec",738345,760265,45.4112,-75.6981
"Winnipeg, Manitoba",433796,437982,49.8844,-97.147
"Québec, Quebec",423351,425425,46.8123,-71.2145
"Hamilton, Ontario",404853,416986,43.2501,-79.8496
"Kitchener - Cambridge - Waterloo, Ontario",315184,307313,43.4254,-80.5112
"London, Ontario",283443,290795,42.9834,-81.233
"Halifax, Nova Scotia",237009,243573,44.6453,-63.5724
"St. Catharines - Niagara, Ontario",222234,228267,43.1713,-79.2427
"Oshawa, Ontario",221824,225255,43.9001,-78.8496
"Victoria, British Columbia",205915,217221,48.4329,-123.369
"Windsor, Ontario",179478,180194,42.3001,-83.0165
"Regina, Saskatchewan",13479,134014,50.4501,-104.618
"Kelowna, British Columbia",11672,118753,49.8831,-119.486
"Sherbrooke, Quebec",114638,116417,45.4001,-71.8991
"Barrie, Ontario",114813,114166,44.4001,-79.6663
"St. John's, Newfoundland and Labrador",107976,111143,47.5649,-52.7093
"Abbotsford - Mission, British Columbia",10596,103001,49.058,-122.253
"Kingston, Ontario",89174,90896,44.2298,-76.481
"Greater Sudbury, Ontario",87268,88089,46.49,-80.99
"Guelph, Ontario",85552,86848,43.5459,-80.256
"Moncton, New Brunswick",85864,85744,46.0945,-64.7965
"Trois-Rivières, Quebec",83277,84455,46.3451,-72.5477
"Saguenay, Quebec",83779,81406,48.4168,-71.0657
"Brantford, Ontario",79133,79258,43.1334,-80.2664
"Edmonton, Alberta",760499,75622,53.5501,-113.469
"Peterborough, Ontario",65108,69897,44.3001,-78.3162
"Saint John, New Brunswick",66407,69215,45.2727,-66.0677
"Lethbridge, Alberta",66307,66757,49.7,-112.819
"Thunder Bay, Ontario",62106,63228,48.382,-89.2502
"Saskatoon, Saskatchewan",173906,17363,53.7168,-113.219
"Belleville, Ontario",57763,5825,44.1668,-77.3828